tweet_id,favorites,retweets,date_time
673317986296586240,874,265,2015-12-06 01:48:12+00:00
673295268553605120,7525,3195,2015-12-06 00:17:55+00:00
673270968295534593,1064,371,2015-12-05 22:41:22+00:00
673240798075449344,1424,740,2015-12-05 20:41:29+00:00
673213039743795200,2246,852,2015-12-05 18:51:11+00:00
673148804208660480,1683,639,2015-12-05 14:35:56+00:00
672997845381865473,1975,734,2015-12-05 04:36:04+00:00
672995267319328768,956,298,2015-12-05 04:25:50+00:00
672988786805112832,984,296,2015-12-05 04:00:04+00:00
672984142909456390,1256,549,2015-12-05 03:41:37+00:00
672980819271634944,1824,1024,2015-12-05 03:28:25+00:00
672975131468300288,1680,917,2015-12-05 03:05:49+00:00
672970152493887488,944,361,2015-12-05 02:46:02+00:00
672968025906282496,1309,553,2015-12-05 02:37:35+00:00
672964561327235073,1417,646,2015-12-05 02:23:49+00:00
672902681409806336,1363,511,2015-12-04 22:17:55+00:00
672898206762672129,906,428,2015-12-04 22:00:08+00:00
672884426393653248,1546,842,2015-12-04 21:05:23+00:00
672877615439593473,1031,371,2015-12-04 20:38:19+00:00
672834301050937345,1309,577,2015-12-04 17:46:12+00:00
672828477930868736,1257,500,2015-12-04 17:23:04+00:00
672640509974827008,976,327,2015-12-04 04:56:09+00:00
672622327801233409,1297,496,2015-12-04 03:43:54+00:00
672614745925664768,1222,592,2015-12-04 03:13:46+00:00
672609152938721280,1115,391,2015-12-04 02:51:33+00:00
672604026190569472,1109,403,2015-12-04 02:31:10+00:00
672594978741354496,1330,614,2015-12-04 01:55:13+00:00
672591762242805761,948,337,2015-12-04 01:42:26+00:00
672591271085670400,721,185,2015-12-04 01:40:29+00:00
672538107540070400,1029,370,2015-12-03 22:09:14+00:00
672523490734551040,638,173,2015-12-03 21:11:09+00:00
672488522314567680,1108,444,2015-12-03 18:52:12+00:00
672482722825261057,1131,606,2015-12-03 18:29:09+00:00
672481316919734272,717,126,2015-12-03 18:23:34+00:00
672475084225949696,1427,707,2015-12-03 17:58:48+00:00
672466075045466113,1351,544,2015-12-03 17:23:00+00:00
672272411274932228,6437,3418,2015-12-03 04:33:27+00:00
672267570918129665,1494,620,2015-12-03 04:14:13+00:00
672264251789176834,1136,340,2015-12-03 04:01:02+00:00
672256522047614977,2809,1565,2015-12-03 03:30:19+00:00
672254177670729728,1427,752,2015-12-03 03:21:00+00:00
672248013293752320,1716,613,2015-12-03 02:56:30+00:00
672245253877968896,686,161,2015-12-03 02:45:32+00:00
672239279297454080,893,326,2015-12-03 02:21:48+00:00
672231046314901505,1827,1029,2015-12-03 01:49:05+00:00
672222792075620352,781,214,2015-12-03 01:16:17+00:00
672205392827572224,2260,1166,2015-12-03 00:07:09+00:00
672169685991993344,1013,371,2015-12-02 21:45:16+00:00
